measurement_point_id,Street short name,Number,Post code,Comments,Latitude,Longitude
PERM_PEA02_PM01,CalleFuencarral,22,28004,Calle peatonal,40.42200905,-3.700891722
PERM_PEA03_PM01,CalleSanBernardo,36,28015,Acera Pares,40.42380314,-3.707379398
PERM_PEA04_PM01,CalleHortaleza,18,28004,Acera Pares,40.42107227,-3.70049043
PERM_PEA05_PM01,CarreradeSanJeronimo,6,28014,Acera Pares,40.41664098,-3.701246554
PERM_PEA06_PM01,CalleAtocha,95,28012,Acera Impares,40.41110888,-3.696471467
PERM_PEA07_PM01,CalleMayor,13,28013,Acera Impares,40.41637598,-3.706029098
PERM_PEA08_PM01,GranVia,34,28013,Acera Pares,40.4202703,-3.704325575
PERM_PEA08_PM02,GranVia,33,28013,Acera Impares,40.42015321,-3.70435898
PERM_PEA09_PM01,PaseodeRecoletos,22,28001,Acera Pares,40.41990798,-3.692363251
PERM_PEA10_PM01,CalleGenova,12,28004,Acera Pares,40.42695341,-3.69448847
PERM_PEA11_PM01,CalleHuertas,29,28014,Calle peatonal,40.41338702,-3.697740186
PERM_PEA12_PM01,PaseoErmitadelSanto,1,28011,Calle peatonal,40.41373441,-3.723947718
PERM_PEA13_PM01,CallePrincesa,1,28008,Acera Impares,40.42479893,-3.712094845
PERM_PEA14_PM01,AlbertoAguilera,56,28015,Acera Pares,40.43046926,-3.713297939
PERM_PEA15_PM01,CalleToledo,23,28005,Acera Impares,40.41289138,-3.707464267
PERM_PEA16_PM01,PlazadelEmperadorCarlosV,11,28012,Acera Impares,40.409118,-3.692441
PERM_PEA17_PM01,RondadeValencia,16,28012,Acera Pares,40.405367,-3.701798
PERM_PEA18_PM01,CalleAlcala,34,28014,Acera Pares,40.418256,-3.697732
PERM_PEA19_PM01,CalleBailen,10,28013,Acera Pares,40.415111,-3.713569
