District Number,Street full name,Street short name,same_as_wikidata_street
7,Alberto Aguilera,AlbertoAguilera,https://www.wikidata.org/entity/Q5740796
1,Calle Alcala,CalleAlcala,https://www.wikidata.org/entity/Q2424746
1,Calle Atocha,CalleAtocha,https://www.wikidata.org/entity/Q5492657
1,Calle Bailen,CalleBailen,https://www.wikidata.org/entity/Q5740811
1,Calle Fuencarral,CalleFuencarral,https://www.wikidata.org/entity/Q5740840
7,Calle Genova,CalleGenova,https://www.wikidata.org/entity/Q24294474
1,Calle Hortaleza,CalleHortaleza,https://www.wikidata.org/entity/Q5740911
1,Calle Huertas,CalleHuertas,https://www.wikidata.org/entity/Q2364997
1,Calle Mayor,CalleMayor,https://www.wikidata.org/entity/Q1149052
9,Calle Princesa,CallePrincesa,https://www.wikidata.org/entity/Q5740935
1,Calle San Bernardo,CalleSanBernardo,https://www.wikidata.org/entity/Q5740864
1,Calle Toledo,CalleToledo,https://www.wikidata.org/entity/Q5740883
1,Carrera de San Jeronimo,CarreradeSanJeronimo,https://www.wikidata.org/entity/Q5836422
1,Gran Via,GranVia,https://www.wikidata.org/entity/Q1324163
10,Madrid Rio. Puente de Segovia con Paseo Ermita del Santo Senda peatonal,MadridRio.PuentedeSegoviaconPaseoErmitadelSantoSendapeatonal,https://www.wikidata.org/entity/Q28137105
1,Paseo de Recoletos,PaseodeRecoletos,https://www.wikidata.org/entity/Q2550870
2,Plaza del Emperador Carlos V,PlazadelEmperadorCarlosV,https://www.wikidata.org/entity/Q7203711
2,Ronda de Valencia,RondadeValencia,https://www.wikidata.org/entity/Q16626200
