District Number,Street full name,Street short name
7,Alberto Aguilera,AlbertoAguilera
1,Calle Alcalá,CalleAlcala
1,Calle Atocha,CalleAtocha
1,Calle Bailén,CalleBailen
1,Calle Fuencarral,CalleFuencarral
7,Calle Génova,CalleGenova
1,Calle Hortaleza,CalleHortaleza
1,Calle Huertas,CalleHuertas
1,Calle Mayor,CalleMayor
9,Calle Princesa,CallePrincesa
1,Calle San Bernardo,CalleSanBernardo
1,Calle Toledo,CalleToledo
1,Carrera de San Jerónimo,CarreradeSanJeronimo
1,Gran Vía,GranVia
10,Madrid Río. Puente de Segovia con Paseo Ermita del Santo Senda peatonal,MadridRio.PuentedeSegoviaconPaseoErmitadelSantoSendapeatonal
1,Paseo de Recoletos,PaseodeRecoletos
2,Plaza del Emperador Carlos V,PlazadelEmperadorCarlosV
2,Ronda de Valencia,RondadeValencia
