Bid,tipoResiduo,nivelLlenado,estado,fecha
1517391,resto,0,OK,2021-10-06T09:29:40
1521210,resto,4,OK,2021-10-06T10:42:18
1522416,resto,4,OK,2021-10-06T09:31:50
1522423,envases,6,OK,2021-10-06T09:52:37
1522705,envases,6,OK,2021-10-06T09:45:12
1522709,envases,0,OK,2021-10-06T10:35:01
1522710,envases,6,OK,2021-10-06T10:55:46
1522846,resto,2,OK,2021-10-06T09:38:45
1522882,resto,0,OK,2021-10-06T10:21:35
1522886,resto,0,OK,2021-10-06T10:24:19
1522889,envases,0,OK,2021-10-06T09:43:11
1522968,resto,0,OK,2021-10-06T10:53:32
1522981,resto,2,OK,2021-10-06T10:19:01
1522985,envases,0,OK,2021-10-06T10:13:22
1522982,resto,2,OK,2021-10-06T10:05:20
1522986,resto,0,OK,2021-10-06T10:53:03
1522987,resto,6,OK,2021-10-06T09:28:56
1522988,resto,0,OK,2021-10-06T10:44:07
1522989,resto,4,OK,2021-10-06T10:00:50
1522991,resto,0,OK,2021-10-06T11:02:37
1522992,envases,0,OK,2021-10-06T10:15:08
1522993,resto,0,OK,2021-10-06T10:58:04
1522994,resto,4,OK,2021-10-06T10:07:21
1522996,envases,6,OK,2021-10-06T09:36:39
1522999,envases,0,OK,2021-10-06T10:42:18
1523001,envases,0,OK,2021-10-06T09:32:21
1523000,resto,0,OK,2021-10-06T09:32:18
1522998,envases,0,OK,2021-10-06T10:33:24
1522997,resto,4,OK,2021-10-06T10:01:02
1523003,resto,2,OK,2021-10-06T09:33:44
1523004,envases,0,OK,2021-10-06T05:40:22
1523007,envases,0,OK,2021-10-06T09:29:26
1523006,resto,2,OK,2021-10-06T09:56:50
1523010,envases,0,OK,2021-10-06T09:26:49
1523009,resto,6,OK,2021-10-06T10:09:54
1523008,resto,2,OK,2021-10-06T09:31:44
1523112,resto,2,OK,2021-10-06T10:52:31
1523113,envases,0,OK,2021-10-06T10:22:14
1523114,envases,0,OK,2021-10-06T10:29:28
1523115,envases,0,OK,2021-10-06T10:33:57
1523116,resto,6,OK,2021-10-06T09:46:11
1523117,resto,0,OK,2021-10-06T10:18:22
1523118,envases,2,OK,2021-10-06T10:44:06
1523120,resto,0,OK,2021-10-06T09:56:22
1523119,envases,0,OK,2021-10-06T10:40:23
1523121,resto,4,OK,2021-10-06T09:52:37
1523122,resto,0,OK,2021-10-06T10:56:47
1523123,envases,0,OK,2021-10-06T10:04:40
1523125,resto,4,OK,2021-10-06T10:35:11
1523127,resto,2,OK,2021-10-06T10:42:56
1523128,resto,0,OK,2021-10-06T11:01:06
1523129,envases,0,OK,2021-10-06T10:56:40
1523130,resto,2,OK,2021-10-06T11:01:31
1523132,envases,0,OK,2021-10-06T11:03:09
1523135,resto,0,OK,2021-10-06T10:00:28
1523138,resto,4,OK,2021-10-06T09:35:31
1523140,envases,2,OK,2021-10-06T10:39:31
1523139,envases,0,OK,2021-10-06T10:39:06
1523141,resto,0,OK,2021-10-06T10:12:25
1523142,resto,0,OK,2021-10-06T10:49:26
1523144,envases,6,OK,2021-10-06T09:40:00
1523143,resto,6,OK,2021-10-06T10:57:30
1523147,envases,2,OK,2021-10-06T10:31:18
1523152,resto,4,OK,2021-10-06T10:00:24
1523149,resto,0,OK,2021-10-06T10:56:20
1523155,resto,4,OK,2021-10-06T10:49:15
1523158,envases,0,OK,2021-10-06T10:18:23
1523159,envases,0,OK,2021-10-06T09:48:11
1523162,resto,6,OK,2021-10-06T10:05:08
1523163,resto,0,OK,2021-10-06T09:24:46
1523164,envases,0,OK,2021-10-06T10:12:06
1523167,resto,2,OK,2021-10-06T09:45:43
1523168,resto,0,OK,2021-10-06T11:04:19
1523175,envases,4,OK,2021-10-06T09:28:18
1523178,resto,0,OK,2021-10-06T10:14:58
1523182,resto,2,OK,2021-10-06T09:53:38
1523184,envases,0,OK,2021-10-06T11:03:01
1523186,envases,0,OK,2021-10-06T10:30:51
1523185,resto,0,OK,2021-10-06T09:59:14
1523187,envases,2,OK,2021-10-06T10:27:37
1523188,envases,2,OK,2021-10-06T09:34:15
1523183,resto,2,OK,2021-10-06T09:47:37
1523193,resto,4,OK,2021-10-06T05:57:07
1523195,resto,0,OK,2021-10-06T09:40:35
1523198,resto,2,OK,2021-10-06T10:15:21
1523199,resto,2,OK,2021-10-06T10:30:48
1523201,resto,0,OK,2021-10-06T10:08:45
1523202,envases,8,LLENA,2021-10-06T10:58:16
1523208,resto,2,OK,2021-10-06T10:22:01
1523211,resto,2,OK,2021-10-06T09:51:37
1523210,resto,2,OK,2021-10-06T10:52:50
1523207,resto,8,LLENA,2021-10-06T09:37:58
1523216,resto,0,OK,2021-10-06T11:00:44
1523213,envases,0,OK,2021-10-06T10:49:06
1523218,resto,0,OK,2021-10-06T10:56:01
1523221,resto,2,OK,2021-10-06T10:47:55
1523222,resto,4,OK,2021-10-06T09:53:06
1523224,resto,6,OK,2021-10-06T09:58:17
1523225,resto,8,LLENA,2021-10-06T10:15:27
1523228,envases,4,OK,2021-10-06T09:45:58
1523230,resto,2,OK,2021-10-06T10:51:11
1523233,resto,10,LLENA,2021-10-06T10:42:56
1523234,resto,0,OK,2021-10-06T10:19:11
1523235,resto,0,OK,2021-10-06T11:00:32
1523239,resto,4,OK,2021-10-06T09:34:52
1523240,resto,2,OK,2021-10-06T10:23:17
1523243,envases,0,OK,2021-10-06T10:07:44
1523244,resto,4,OK,2021-10-06T10:40:54
1523247,resto,4,OK,2021-10-06T09:59:26
1523248,envases,2,OK,2021-10-06T09:48:03
1523252,envases,0,OK,2021-10-06T10:21:46
1523253,resto,0,OK,2021-10-06T09:59:57
1523254,envases,0,OK,2021-10-06T10:54:36
1523255,resto,0,OK,2021-10-06T10:12:42
1523256,resto,0,OK,2021-10-06T10:46:49
1523259,envases,0,OK,2021-10-06T10:54:35
1523260,resto,0,OK,2021-10-06T10:31:46
1523261,envases,0,OK,2021-10-06T11:03:33
