distritoId;same_as_wikidata_distrito
Moratalaz;https://www.wikidata.org/wiki/Q2076109
Puente de Vallecas;https://www.wikidata.org/wiki/Q2003054
Ciudad Lineal;https://www.wikidata.org/wiki/Q1763694
Vicálvaro;https://www.wikidata.org/wiki/Q589403
Villaverde;https://www.wikidata.org/wiki/Q919536
San Blas;https://www.wikidata.org/wiki/Q2001937
Barajas;https://www.wikidata.org/wiki/Q807230
Centro;https://www.wikidata.org/wiki/Q1763376
Retiro;https://www.wikidata.org/wiki/Q2002296
Salamanca;https://www.wikidata.org/wiki/Q1773521
Chamartín;https://www.wikidata.org/wiki/Q1766348
Carabanchel;https://www.wikidata.org/wiki/Q1001991
Chamberí;https://www.wikidata.org/wiki/Q1763370
Arganzuela;https://www.wikidata.org/wiki/Q2000929
Villa de Vallecas;https://www.wikidata.org/wiki/Q1947988
Moncloa-Aravaca;https://www.wikidata.org/wiki/Q2017682
Latina;https://www.wikidata.org/wiki/Q794954
Usera;https://www.wikidata.org/wiki/Q953368
Fuencarral-El Pardo;https://www.wikidata.org/wiki/Q656196
Hortaleza;https://www.wikidata.org/wiki/Q1928529
Tetuán;https://www.wikidata.org/wiki/Q1773540
