Lid,barrio,distrito,direccion,longitud,latitud
1517391,Media Legua,Moratalaz,Pza. Mercurio FTE. Junta Municpal De Barajas,-3.577963176,40.47453267
1521210,Numancia,Puente de Vallecas,Manuel Machado CV Alcalde Luis Marichalar,-3.65939877,40.41135578
1522416,Entrevías,Puente de Vallecas,Peña Gorbea N°2,-3.668875804,40.39838611
1522423,Quintana,Ciudad Lineal,Estacion Cercanias Asamblea De Madrid,-3.66818482,40.38188725
1522705,Vinateros,Moratalaz,José Del Hierro N° 52,-3.643923773,40.44014094
1522709,Pueblo Nuevo,Ciudad Lineal,Av. Moratalaz N°134,-3.646908269,40.40678847
1522710,Pueblo Nuevo,Ciudad Lineal,Alcalá CV Av. Institución Libre Enseñanza,-3.638263551,40.43772194
1522846,Ventas,Ciudad Lineal,Alcalá CV Av. Institución Libre Enseñanza,-3.638243319,40.43772682
1522882,Concepción,Ciudad Lineal,Av. Marqués De Corbera N°54-56 (Metro La Elipa),-3.650957796,40.4262552
1522886,Valderrivas,Vicálvaro,José Del Hierro N°55,-3.642892763,40.44080218
1522889,"Villaverde Alto, Casco Histórico de Villaverde",Villaverde,San Cipriano (Cercanías Vicalvaro/Metro Puerta De Arganda),-3.595912,40.401426
1522968,Casco histórico de Vicálvaro,Vicálvaro,P° Alberto Palacios N°1,-3.709155138,40.34642989
1522981,Arcos,San Blas,Villablanca (Centro  De Salud),-3.59949173,40.40555599
1522985,Ventas,Ciudad Lineal,Glorieta Alsacia (Metro Alsacia),-3.623096022,40.41762705
1522982,Casco histórico de Vicálvaro,Vicálvaro,Av. Marqués De Corbera N°1-3,-3.656185017,40.42284802
1522986,Concepción,Ciudad Lineal,San Cipriano CV Jardin De La Duquesa,-3.604521592,40.40403644
1522987,Vinateros,Moratalaz,Virgen De La Alegría N°8-10,-3.657062921,40.43353499
1522988,Alameda de Osuna,Barajas,C° De Vinateros (Centro De Salud Torito),-3.64634004,40.40622434
1522989,Casco histórico de Vicálvaro,Vicálvaro,Pza. Cristina Arce Y Rocío Oña,-3.58722515,40.45516508
1522991,Ventas,Ciudad Lineal,Villardondiego Biblioteca Municipal,-3.608345224,40.40552047
1522992,Quintana,Ciudad Lineal,Av. Marqués De Corbera N°54-56 (Metro La Elipa),-3.650943623,40.42624098
1522993,Casco histórico de Vicálvaro,Vicálvaro,José Del Hierro N°52,-3.643909768,40.44014459
1522994,Concepción,Ciudad Lineal,Paseo Artilleros CV San Cipriano (Metro Vicalvaro),-3.608853488,40.40448329
1522996,Concepción,Ciudad Lineal,José Del Hierro N°39,-3.64429645,40.44020835
1522999,Portazgo,Puente de Vallecas,José Del Hierro N°55,-3.642874159,40.4408142
1523001,Vinateros,Moratalaz,Santillana Del Mar (Metro Alto Del Arenal),-3.64543874,40.39021816
1523000,Casco histórico de Vicálvaro,Vicálvaro,Av. Moratalaz N°134,-3.64693327,40.40679429
1522998,Pueblo Nuevo,Ciudad Lineal,P° Polideportivo (Centro Deportivo),-3.603165281,40.4089181
1522997,Arcos,San Blas,Ascao N°4-6 (Biblioteca Pablo Neruda),-3.641702707,40.42962021
1523003,Pueblo Nuevo,Ciudad Lineal,Glorieta Alsacia (Metro Alsacia),-3.623105498,40.41764011
1523004,Corralejos,Barajas,Ascao N°4-6 (Biblioteca Pablo Neruda),-3.641715149,40.42961657
1523007,Casco histórico de Vicálvaro,Vicálvaro,Bahía De Gando SN (Centro Comercial),-3.592818799,40.46516024
1523006,Concepción,Ciudad Lineal,San Cipriano N°44 (Metro San Cipriano),-3.60407947,40.40393387
1523010,Corralejos,Barajas,Virgen De La Alegría N°8-10,-3.657079949,40.43352178
1523009,Concepción,Ciudad Lineal,Vía Dublín (Edificio Correos),-3.613895609,40.46263012
1523008,Universidad,Centro,José Del Hierro N°39,-3.644310396,40.44019873
1523112,Justicia,Centro,Gran Vía 78,-3.710383173,40.42319322
1523113,Universidad,Centro,Alcala Farola 151 (Metro Banco De España),-3.6958147,40.41908766
1523114,Sol,Centro,Gran Via 28,-3.701710863,40.42010633
1523115,Palacio,Centro,Gran Vía 31,-3.703883732,40.42009193
1523116,Pacífico,Retiro,Plaza De Armeria Entre Palacio Y Catedral Junto Fla.16,-3.713778516,40.41620155
1523117,Recoletos,Salamanca,Reina Cristina,-3.685198307,40.40633497
1523118,Sol,Centro,Pz Colón Fla.58,-3.688464257,40.42433107
1523120,Niño Jesús,Retiro,C/Ceraceros 1,-3.700435732,40.41679047
1523119,Ciudad Jardín,Chamartín,Doctor Esquerdo (Salida Metro Conde De Casal),-3.670624262,40.40692908
1523121,Lista,Salamanca,Josep Pla CV Lopez De Hoyos,-3.677728264,40.44187716
1523122,Cortes,Centro,Juan Bravo FTE.N° 32,-3.679332861,40.43263405
1523123,Opañel,Carabanchel,Sevilla 2 CV Plaza de Canalejas,-3.700270831,40.41675274
1523125,Pacífico,Retiro,Gta. Valle Del Oro FTE. N°4,-3.7308273,40.38824054
1523127,Recoletos,Salamanca,Av. Mendez Pelayo,-3.681008267,40.40442093
1523128,San Diego,Puente de Vallecas,Alcalá 75,-3.687232721,40.42046914
1523129,Recoletos,Salamanca,Peña Gorbea Esq. Monte Igueldo,-3.668086832,40.39600285
1523130,Guindalera,Salamanca,Pz Independencia 5,-3.688231197,40.42043758
1523132,El Viso,Chamartín,Pz Manuel Becerra 8,-3.668746109,40.42864558
1523135,Sol,Centro,Gabriel Lobo 12,-3.680784518,40.44276796
1523138,Jerónimos,Retiro,Preciados Fnac FTE. Nº21,-3.705428578,40.41922142
1523140,Jerónimos,Retiro,Av. Mendez Pelayo Entrada Retiro Frente A Ibiza,-3.679007588,40.41821685
1523139,Ciudad Jardín,Chamartín,Puerta De Alcala (Tramo Entrada Del Retiro),-3.688067975,40.41968728
1523141,Sol,Centro,Príncipe De Vergara 154,-3.677678973,40.44858399
1523142,Palacio,Centro,Gran Vía 29 CV Chinchilla,-3.703342172,40.42004874
1523144,Jerónimos,Retiro,Gran Vía 61,-3.709493211,40.42242401
1523143,San Diego,Puente de Vallecas,Paseo Del Prado CV Felipe IV,-3.693133207,40.41506036
1523147,Universidad,Centro,Peña Gorbea Esq. Puerto Alto,-3.666155782,40.39540616
1523152,San Diego,Puente de Vallecas,Gran Via 38 CV Concepción Arenal,-3.704702537,40.42032769
1523149,Guindalera,Salamanca,Peña Gorbea Esq. Puerto Alto,-3.666139972,40.39538361
1523155,Guindalera,Salamanca,Av. Bruselas 56,-3.662830764,40.43941781
1523158,Universidad,Centro,Alcalá 237 (Pz Toros) Ventas Derecha Entrada Principal,-3.662593924,40.43149951
1523159,Recoletos,Salamanca,Plaza Guardia De Cors FTE. Conde Duque,-3.710569557,40.42718155
1523162,Sol,Centro,Goya 2,-3.687636604,40.42529303
1523163,Justicia,Centro,Mayor CV Coloreros,-3.706926444,40.41632448
1523164,Jerónimos,Retiro,Plaza Cibeles CV Paseo Recoletos,-3.693046779,40.41984441
1523167,Goya,Salamanca,Av. Mendez Pelayo Entrada Retiro Frente Ibiza,-3.679012373,40.41822755
1523168,Sol,Centro,Doctor Esquerdo 40,-3.669181595,40.42153733
1523175,Cortes,Centro,Puerta Del Sol (Metro/Cercanias),-3.702893553,40.4168867
1523178,Palomeras Bajas,Puente de Vallecas,Plaza Cibeles,-3.693455352,40.41878243
1523182,Numancia,Puente de Vallecas,Martinez De La Riva Esq. Carlos Martin Álvarez,-3.664259479,40.38805564
1523184,Fuente del Berro,Salamanca,Peña Prieta Esq. Monte Oliveti,-3.668487545,40.39879625
1523186,Entrevías,Puente de Vallecas,Pz Manuel Becerra 14,-3.66801223,40.4280849
1523185,Guindalera,Salamanca,La Mancha Esq. Av. Entrevías (Pares),-3.668745753,40.38155864
1523187,Buenavista,Carabanchel,Alcalá 237 (Pz Toros) Ventas Izquierda Entrada Principal,-3.662962034,40.43134366
1523188,Jerónimos,Retiro,Av. De La Peseta CV Salvador Allende (Metro La Peseta),-3.757406865,40.3631245
1523183,Entrevías,Puente de Vallecas,Av. Mendez Pelayo (Entrada/Salida Retiro Mariano De Cavia),-3.678503007,40.40830462
1523193,Recoletos,Salamanca,Pedroches Esq. Menbezar,-3.66964903,40.3790523
1523195,Cortes,Centro,Pz Cibeles 4,-3.692255961,40.41967104
1523198,Sol,Centro,Gran Vía CV Caballero De Gracia,-3.697609957,40.41907936
1523199,Fuente del Berro,Salamanca,Arenal 10 (FTE. Museo Del Jamón),-3.705696277,40.41707139
1523201,Justicia,Centro,Pz Manuel Becerra 14,-3.667998147,40.42808021
1523202,Sol,Centro,Gran Via 16,-3.699335035,40.41972146
1523208,Pacífico,Retiro,Montera 24,-3.702368136,40.41838075
1523211,Palacio,Centro,Plaza Daoiz Y Velarde (Zona Próxima A La Junta De Distrito),-3.677770994,40.40201702
1523210,Pavones,Moratalaz,Gran Vía 57,-3.708451561,40.42176118
1523207,Almagro,Chamberí,Hacienda De Pavones N°356,-3.635485142,40.40085692
1523216,Prosperidad,Chamartín,Alonso Cano 10 (Mercado),-3.697935439,40.43619976
1523213,Sol,Centro,Av. América 9,-3.676697332,40.43812556
1523218,Goya,Salamanca,Mayor CV Esparteros,-3.705120453,40.41644397
1523221,Sol,Centro,Narváez 1,-3.675658785,40.42448307
1523222,Guindalera,Salamanca,Puerta Del Sol CV Preciados,-3.704138056,40.41708721
1523224,Atocha,Arganzuela,Av. De América 2,-3.676949775,40.43746962
1523225,Recoletos,Salamanca,Plaza Del Emperador Carlos V(Salida Arriba E.A.),-3.692611334,40.40779409
1523228,Numancia,Puente de Vallecas,Goya 39,-3.683342679,40.42523625
1523230,Guindalera,Salamanca,Peña Prieta Esq. Monte Oliveti,-3.668518486,40.39878778
1523233,Casco Histórico de Vallecas,Villa de Vallecas,Alcalá 237 (Pz Toros) Metro,-3.663295681,40.43101399
1523234,Santa Eugenia,Villa de Vallecas,P° Federico Garcia Lorca N°3,-3.62116038,40.37946842
1523235,Ciudad Universitaria,Moncloa-Aravaca,Av. Santa Eugenia FTE. Estación Cercanías,-3.608790458,40.386683
1523239,Palacio,Centro,Av. Complutense FTE. Instalaciones Deportivas,-3.72926577,40.45075814
1523240,Ensanche de Vallecas,Villa de Vallecas,Plaza Isabel II ( Frente Calle Caños Del Peral),-3.709673874,40.41834527
1523243,San Diego,Puente de Vallecas,Av. Ensanche De Vallecas CV Alto De La Sartenilla (Metro La Gavia),-3.612362238,40.36933234
1523244,Ciudad Universitaria,Moncloa-Aravaca,Estacion Cercanias Asamblea De Madrid,-3.668163084,40.38189572
1523247,Sol,Centro,Plaza Cristo Rey,-3.717983156,40.43925114
