ID-EVENTO,TITULO,PRECIO,GRATUITO,LARGA-DURACION,DIAS-SEMANA,same_as_wikidata_DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA INICIAL,FECHA-FIN,DESCRIPCION,CONTENT-URL,PROGRAMA,URL-PROGRAMA,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,DIRECCION,DISTRITO-INSTALACION,same_as_wikidata_DISTRITO-INSTALACION,BARRIO-INSTALACION,same_as_wikidata_BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,LATITUD,LONGITUD,CATEGORIA,SUBCATEGORIA,AUDIENCIA
10262384,El rincón de las letras,Acceso libre,true,true,Monday,http://wikidata.org/entity/Q105,,2021-10-01T00:00:00Z,2021-10-30T23:59:00Z,"Elige uno de los libros del punto de biblioteca libre que te ofrece el Centro Juvenil de Hontalbilla, llévatelo a casa y tráete otro.       Fecha y hora de la celebración: permanente  Periodo de inscripción:  Hasta completar plazas. Inscripciones en www.bit.ly/inscripcioncj    ?Plazas: ?hasta completar aforo",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=24727eab3e63a510VgnVCM1000001d4a900aRCRD,Actividades en el centro juvenil 'Hontalbilla' (Fuencarral - El Pardo). Julio 2021,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d868027e7628d310VgnVCM1000000b205a0aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=afc93331c9ee2210VgnVCM2000000c205a0aRCRD,Centro Juvenil Hontalbilla (Fuencarral - El Pardo),false,CALLE HONTALBILLA 10,Fuencarral-El Pardo,http://wikidata.org/entity/Q656196,Valverde,http://wikidata.org/entity/Q31132,28034,40.49231828430878,-3.6906342081203283,,,Jovenes
,,,,,Tuesday,http://wikidata.org/entity/Q127,,,,,,,,,,,,,,,,,,,,,
,,,,,Wednesday,http://wikidata.org/entity/Q128,,,,,,,,,,,,,,,,,,,,,
,,,,,Thursday,http://wikidata.org/entity/Q129,,,,,,,,,,,,,,,,,,,,,
,,,,,Friday,http://wikidata.org/entity/Q130,,,,,,,,,,,,,,,,,,,,,
,,,,,Saturday,http://wikidata.org/entity/Q131,,,,,,,,,,,,,,,,,,,,,
,,,,,Sunday,http://wikidata.org/entity/Q132,,,,,,,,,,,,,,,,,,,,,
10262826,"Área Gamer I, II, III y IV",Acceso libre,true,true,Friday,http://wikidata.org/entity/Q130,,2021-10-01T18:00:00Z,2021-10-22T23:59:00Z,"¿Aburridx en casa? Apúntate a nuestra zona de juego. Sin duda un espacio de encuentro, charlas, risas... Todo esto te espera . ¡No te lo pierdas!   Fecha y hora de celebración: viernes 1, 8, 15 y 22 de octubre de 18:00 a 20:00 h   Periodo de inscripción: Hasta completar plazas. Inscripciones en www.bit.ly/inscripcioncj   ?Plazas: ?7 cada viernes",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=936b428f9673a510VgnVCM1000001d4a900aRCRD,Actividades en el centro juvenil 'Chamberí'. Octubre 2021,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c604786b5fd1410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7054251933357310VgnVCM2000000c205a0aRCRD,Centro Juvenil Chamberí,true,CALLE RAIMUNDO FERNANDEZ VILLAVERDE 2,Chamberí,http://wikidata.org/entity/Q1763370,Ríos Rosas,http://wikidata.org/entity/Q10366270,28003,40.44661949643803,-3.703467785151993,,,Jovenes
10606981,Conferencia arte: Diego Velázquez,Acceso libre,true,false,,,,2021-10-25T19:00:00Z,2021-10-25T23:59:00Z,"Ciclo grandes maestros europeos del barroco. Los pintores españoles del Siglo de Oro también participaron en el mito que, en su época, implicaba el arte italiano. El viaje a Italia y el conocimiento de las obras de la Antigüedad y los maestros del Renacimiento, supusieron prácticamente una obligación para los artistas de la Edad Moderna. Sin embargo, los grandes pintores de nuestro Siglo de Oro, recogieron esa tradición para crear una senda propia. En este pequeño ciclo de conferencias estudiaremos los casos de Diego Velázquez y Jusepe Ribera, que respondieron de manera muy diferente a sus experiencias italianas. Ponente: David García López, Doctor por la Universidad Complutense de Madrid y Profesor Titular del Departamento de Historia del Arte de la Universidad de Murcia.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3fe707e5ce541610VgnVCM1000001d4a900aRCRD,Conferencias en el Centro Cultural Nicolás Salmerón,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=226dbbde88c7c510VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee4a1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Nicolás Salmerón (Chamartín),true,CALLE MANTUANO 51,Chamartín,http://wikidata.org/entity/Q1766348,Ciudad Jardín,http://wikidata.org/entity/Q3773744,28002,40.44810636195716,-3.6762309620097398,ConferenciasColoquios,,
10621974,Dance Studio 23,Acceso libre,true,true,Thursday,http://wikidata.org/entity/Q129,,2021-10-07T18:30:00Z,2021-10-28T23:59:00Z,Participa en nuestro grupo de danzas urbanas y aprende todo tipo de pasos y estilos que te puedas imaginar y de forma gratuita. ¡No te lo pierdas!    Fecha y hora de celebración:  todos los jueves de octubre de 2021 de 18:30h a 19:30h   Inscripciones en www.bit.ly/inscripcioncj     Plazas: ?1?5,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aaf8afe611991610VgnVCM1000001d4a900aRCRD,Actividades en el centro juvenil 'Carabanchel Alto'. Julio 2021,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=06d8fdbf23fd1410VgnVCM1000000b205a0aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2565d2d6fe9a6110VgnVCM1000000b205a0aRCRD,Centro Juvenil Carabanchel Alto,true,CALLE ALFONSO FERNANDEZ 23,Carabanchel,http://wikidata.org/entity/Q1001991,Buenavista,http://wikidata.org/entity/Q953929,28044,40.366822704148795,-3.755451103709316,ProgramacionDestacadaAgendaCultura,,Jovenes
