ID-EVENTO,TITULO,PRECIO,DIAS-SEMANA,DIAS-EXCLUIDOS,FECHA,FECHA-FIN,HORA,DESCRIPCION,CONTENT-URL,TITULO-ACTIVIDAD,URL-ACTIVIDAD,URL-INSTALACION,NOMBRE-INSTALACION,ACCESIBILIDAD-INSTALACION,ADDRESS,DISTRITO-INSTALACION,BARRIO-INSTALACION,CODIGO-POSTAL-INSTALACION,COORDINATES,TIPO,AUDIENCIA
11488558,1. Concierto Barroco,No hay información,,,2021-10-09,2021-10-09,18:00,"Atlántida Chamber Orchestra    Dirige: Manuel Tévar Programa:  ALBINONI  (Adagio)  D. CIMAROS  (Concertino para clarinete y cuerdas)  VIVALDI  (Concerto para cuerdas Rv152)  PURCELL  (Rondeau Suite Addelazer)  TELEMANN  (Suite 'Don Quijote')  HAENDEL  (Lascia qui o pianga)  CORELLI  (Concerto Grosso nº8, Concert di natale)",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0269c0dfb545c710VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Zazuar (Villa de Vallecas),1,"CALLE ZAZUAR, 4",VILLA DE VALLECAS,SANTA EUGENIA,28031,"40.38281899948726,-3.606140062044455",Musica,
11457499,1ª Edición Festival Internacional de Luz de Madrid,Gratuito,"L,M,X,J,V,S,D",,2021-10-29,2021-10-31,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7285edf0f70ab710VgnVCM2000001f4a900aRCRD,,,,,,,,,,,ActividadesCalleArteUrbano,
11488618,2. Concierto de música popular Música de cine,No hay información,,,2021-10-16,2021-10-16,18:00,Atlántida Chamber Orchestra    (Nesus Strings)    Dirige: Manuel Tévar.  Programa:   West Side Story  Shrek  Piratas del Caribe  Leyendas de Pasión  Madagascar  Por una cabeza  Libertango  Los Simpsons  Hey Jude  Oboe de Gabriel  Aleluya de Cohen  Harry Potter  Moon River  La pantera Rosa  As time goes By,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=582dc0dfb545c710VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Zazuar (Villa de Vallecas),1,"CALLE ZAZUAR, 4",VILLA DE VALLECAS,SANTA EUGENIA,28031,"40.38281899948726,-3.606140062044455",Musica,
11461367,35º Certamen coreográfico de Madrid,Entrada general: 15 euros,"L,M,X,J,V,S,D",,2021-12-08,2021-12-12,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa6be1e2c15cb710VgnVCM1000001d4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro de Cultura Contemporánea Conde Duque,1,"CALLE CONDE DUQUE, 11",CENTRO,UNIVERSIDAD,28015,"40.42802889001877,-3.710182353581842",DanzaBaile,
11488627,3. Concierto Clásico,No hay información,,,2021-11-13,2021-11-13,18:00,Atlántida Chamber Orchestra    (Lis String Sextet)    Dirige: Manuel Tévar.  Programa:   W. A. MOZART  Pequeña serenata nocturna:1. Allegro2. Andante3. Minueto4. Rondo Allegro  AMY BEACH  Quinteto op 80 Tema y variaciones.  Flauta y cuarteto de cuerda  W. A. MOZART  Quinteto para clarinete y cuarteto de cuerda: 1. Allegro2. Andante3. Minueto4. Rondo Allegro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=526dc0dfb545c710VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Zazuar (Villa de Vallecas),1,"CALLE ZAZUAR, 4",VILLA DE VALLECAS,SANTA EUGENIA,28031,"40.38281899948726,-3.606140062044455",Musica,
11482271,3º Muestra de cine finlandés en Madrid,Gratuito,,,2021-10-09,2021-10-09,19:00,"En esta nueva edición presentamos un nuevo formato experimental más dinámico y participativo en la programación de nuestra cita anual con el cine finlandés en Hortaleza, y para todo Madrid. Presentaremos dos cortometrajes de la videoartista Marja Viitahuhta, Ask The Foremothers y Dreamscapes, y un documental, Eatnameamet-Our Siilent Struggle enfocados en el tema de la realidad territorial y de identidad del pueblo Sami que habita en el Norte de Finlandia.  Tras las proyecciones, realizaremos un coloquio/debate acerca del problema de las fronteras, el territorio y la identidad que afecta a todo el mundo y lo enfocaremos en Hortaleza como centro del mismo: en su identidad como pueblo dentro de Madrid y en la fuerza e importancia clave de su tejido asociativo, históricamente y en la actualidad, como motor de su identidad. Para ello contaremos con la participación y representación de agentes y asociaciones de Hortaleza.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=869c8dd1dd53c710VgnVCM1000001d4a900aRCRD,Actividades en el Centro Cultural Carril del Conde,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4dc76ed8d8a75610VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=66a7cbf06c81c010VgnVCM1000000b205a0aRCRD,Centro Cultural Carril del Conde (Hortaleza),1,"CALLE CARRIL DEL CONDE, 57",HORTALEZA,CANILLAS,28043,"40.46088953531134,-3.6544210187969433",CineActividadesAudiovisuales,
11488635,4. Concierto Romántico,No hay información,,,2021-11-27,2021-11-27,18:00,Atlántida Chamber Orchestra    Dirige: Manuel Tévar.  Programa:   GRIEG  (Peer Gynt op. 46.)  BIZET  (Suite Carmen)  MASSENET  (Meditación de Thais)  BRITTEN  (Sentimental Sarabanda)  TCHAIKOVSKY  (Valse serenata cuerdas op. 48.)  MASCAGNI  (Cavalleria Rusticana)  WILLIAMS  (La lista de Schindler)  SIBELIUS  (Vals triste)  PIAZZOLLA  (Oblivion),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c9adc0dfb545c710VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d8c1e79ee71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Zazuar (Villa de Vallecas),1,"CALLE ZAZUAR, 4",VILLA DE VALLECAS,SANTA EUGENIA,28031,"40.38281899948726,-3.606140062044455",Musica,
11480760,5 Pintores por Amor al Arte. Pintura.,Gratuito,"L,M,X,J,V",12/10/2021;,2021-09-30,2021-10-30,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dbeb65b38f03c710VgnVCM1000001d4a900aRCRD,Programa de actividades en el Centro Cultural Sara Montiel (Latina),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fd49b87374893510VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c957cbf06c81c010VgnVCM1000000b205a0aRCRD,Centro Cultural Sara Montiel (Latina),1,"CARRETERA BOADILLA DEL MONTE, 40",LATINA,CAMPAMENTO,28024,"40.399764677637116,-3.775144917950534",Exposiciones,
11469737,50 años de la Mujer en la Policía Municipal,Gratuito,"L,M,X,J,V,S,D",,2021-10-01,2021-10-29,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca8186685930c710VgnVCM2000001f4a900aRCRD,,,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cce43d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Antonio Machado (San Blas - Canillejas),1,"CALLE SAN ROMÁN DEL VALLE, 8",SAN BLAS-CANILLEJAS,ARCOS,28037,"40.42027705095574,-3.621741078700336",Exposiciones,
11481205,5º Certamen de Cortos Labanda,Gratuito,,,2021-10-23,2021-10-23,18:00,"'V Certamen de Cortos Labanda', final y entrega de premio del jurado y premio del público.",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=777157f91713c710VgnVCM2000001f4a900aRCRD,Programa de actividades en el Centro Cultural Fernando de los Ríos (Latina),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=36e6d0843f893510VgnVCM2000001f4a900aRCRD,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3d973d0b5e71c010VgnVCM1000000b205a0aRCRD,Centro Cultural Fernando de los Ríos (Latina),1,"CALLE CAMARENA, 10",LATINA,ALUCHE,28047,"40.39552931214334,-3.7562667464373223",CineActividadesAudiovisuales,
