num_expediente,DateTime,localizacion,numero,distrito,tipo_accidente,estado_meteorologico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,positiva_alcohol
2019S000036,2019-02-01T20:45:00Z,AVDA_GRAN_VIA_DE_HORTALEZA__GTA_LUIS_ROSALES,65B,HORTALEZA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 70 a 74 años,Hombre,3,N
2019S000045,2019-03-01T10:30:00Z,CTRA_DEHESA_DE_LA_VILLA,1,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,2,N
2019S000132,2019-03-01T12:45:00Z,AVDA_SANTA_EUGENIA__CALL_REAL_DE_ARGANDA,64,VILLA_DE_VALLECAS,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,N
2019S000133,2019-03-01T14:30:00Z,CALL_FELIPE_ALVAREZ,10,VILLA_DE_VALLECAS,Alcance,Se desconoce,Bicicleta,Conductor,De 15 a 17 años,Hombre,7,N
2019S000306,2019-04-01T17:10:00Z,CALL_PRADILLO,26,CHAMARTÍN,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,N
2019S000641,2019-04-01T13:35:00Z,CALL_CAÑON_DEL_RIO_LOBOS,7A,MORATALAZ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 65 a 69 años,Hombre,7,N
2019S000659,2019-01-01T14:00:00Z,CALL_CASTELLO__CALL_DON_RAMON_DE_LA_CRUZ,60,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,1,N
2019S000904,2019-07-01T14:00:00Z,CALL_NUESTRA_SEÑORA_DE_VALVERDE__CALL_DOCTOR_JUAN_BRAVO,2,FUENCARRAL-EL_PARDO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,N
2019S001678,2019-09-01T12:50:00Z,CALL_GRAN_VIA,66,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,0,N
2019S001738,2019-08-01T13:03:00Z,C_MONASTERIO_DE_ARLANZA-AV_SANTUARIO_DE_VALVERDE,25,FUENCARRAL-EL_PARDO,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,N
2019S001943,2019-09-01T14:50:00Z,CALL_ANTONIO_DE_LEYVA,84,CARABANCHEL,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,N
2019S002373,2019-08-01T20:55:00Z,CALL_PUERTO_DE_LA_CRUZ_VERDE,49,ARGANZUELA,Atropello a persona,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,14,N
2019S002591,2019-12-01T22:15:00Z,AVDA_POBLADOS__CALL_SECOYA,109,CARABANCHEL,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2,N
2019S002594,2019-12-01T22:45:00Z,POLIG_ALUCHE-AVENIDA_DE_LOS_POBLADOS__CALL_SECOYA,0,LATINA,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6,N
2019S002704,2019-12-01T13:00:00Z,CALL_SANCHIDRIAN,13A,LATINA,Alcance,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,14,N
2019S002788,2019-01-14T11:10:00Z,CALL_FLORA,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,7,N
2019S002882,2019-10-01T20:30:00Z,PASEO_JUAN_ANTONIO_VALLEJO-NAJERA_BOTAS__CALL_GASOMETRO,23,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2,N
2019S003277,2019-01-14T16:30:00Z,CALL_SANTA_GENOVEVA__PLAZA_AGUSTIN_GONZALEZ,2,CIUDAD_LINEAL,Colisión lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Mujer,14,N
2019S003283,2019-11-01T16:00:00Z,CALL_GRAN_VIA__CALL_SAN_BERNARDO,3,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,14,N
2019S003306,2019-01-16T09:00:00Z,AVDA_DAROCA__CALL_NICOLAS_SALMERON,1,CIUDAD_LINEAL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,6,N
2019S003364,2019-12-01T13:03:00Z,AVDA_ENSANCHE_DE_VALLECAS,44,VILLA_DE_VALLECAS,Colisión fronto-lateral,Se desconoce,Bicicleta,Conductor,De 15 a 17 años,Mujer,7,N
2019S003463,2019-01-14T22:45:00Z,CALL_MIGUEL_ANGEL__PASEO_GENERAL_MARTINEZ_CAMPOS,9,CHAMBERÍ,Colisión fronto-lateral,Se desconoce,Bicicleta,Conductor,De 25 a 29 años,Hombre,0,N
2019S003662,2019-01-17T06:00:00Z,CALL_DOCE_DE_OCTUBRE,26,RETIRO,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,2,N
2019S003749,2019-01-16T15:20:00Z,PLAZA_CONDE_DEL_VALLE_DE_SUCHIL,3,CHAMBERÍ,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Mujer,7,N
2019S004134,2019-01-14T20:20:00Z,PASEO_EL_PARDO,37,FUENCARRAL-EL_PARDO,Caída,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,N
2019S004151,2019-01-17T16:15:00Z,CALL_SERRANO,141,CHAMARTÍN,Alcance,Despejado,Bicicleta,Conductor,De 45 a 49 años,Mujer,14,N
2019S004271,2019-01-18T18:05:00Z,AVDA_FERMINA_SEVILLANO,42,SAN_BLAS-CANILLEJAS,Colisión frontal,Se desconoce,Bicicleta,Conductor,De 45 a 49 años,Hombre,0,S
2019S004528,2019-01-19T21:10:00Z,PLAZA_INDEPENDENCIA__CALL_ALCALA,1,SALAMANCA,Colisión fronto-lateral,Lluvia débil,Bicicleta,Conductor,De 25 a 29 años,Hombre,6,N
2019S004582,2019-01-19T11:10:00Z,CTRA_EL_PARDO_A_FUENCARRAL,0,FUENCARRAL-EL_PARDO,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,N
2019S004601,2019-01-17T19:50:00Z,CALL_ARENAL__CALL_DONADOS,26,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,N
2019S004769,2019-01-18T07:55:00Z,CALL_GENOVA,2,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,2,N
2019S004939,2019-01-21T16:50:00Z,CALL_SAN_ENRIQUE_DE_OSSO,36,HORTALEZA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 10 a 14 años,Hombre,2,N
2019S005036,2019-01-24T11:15:00Z,CALL_BRAVO_MURILLO__CALL_PENSAMIENTO,250,TETUÁN,Atropello a persona,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14,N
2019S005062,2019-01-23T15:38:00Z,AVDA_ALBUFERA,149,PUENTE_DE_VALLECAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 65 a 69 años,Hombre,14,N
2019S005101,2019-01-18T13:00:00Z,CALL_VILLABLANCA,11,VICÁLVARO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 60 a 64 años,Hombre,2,N
2019S005992,2019-01-25T09:12:00Z,CALLE_ALFONSO_XI,3,RETIRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7,N
2019S006032,2019-01-26T21:35:00Z,CALL_MARIA_DE_MOLINA,60,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,N
2019S006478,2019-01-28T18:00:00Z,CALL_MENDEZ_ALVARO__CALL_TITAN,83,ARGANZUELA,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,14,N
