num_expediente,DateTime,localizacion,numero,distrito,distrito_wikidata,loc_rec,localizacion_wikidata,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,positiva_alcohol
2019S000036,2019-02-01T20:45:00Z,AVDA_GRAN_VIA_DE_HORTALEZA__GTA_LUIS_ROSALES,65B,Hortaleza,https://wikidata.org/entity/Q1928529,AVENIDA GRAN VIA DE HORTALEZA,,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 70 a 74 años,Hombre,3.0,N
2019S000045,2019-03-01T10:30:00Z,CTRA_DEHESA_DE_LA_VILLA,1,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Dehesa de la Villa,https://wikidata.org/entity/Q4887686,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,2.0,N
2019S000132,2019-03-01T12:45:00Z,AVDA_SANTA_EUGENIA__CALL_REAL_DE_ARGANDA,64,Villa de Vallecas,https://wikidata.org/entity/Q1947988,AVENIDA SANTA EUGENIA,,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,N
2019S000133,2019-03-01T14:30:00Z,CALL_FELIPE_ALVAREZ,10,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Felipe Alvarez Bengochea,https://wikidata.org/entity/Q56753025,Alcance,Se desconoce,Bicicleta,Conductor,De 15 a 17 años,Hombre,7.0,N
2019S000306,2019-04-01T17:10:00Z,CALL_PRADILLO,26,Chamartín,https://wikidata.org/entity/Q1766348,calle de Pradillo,https://wikidata.org/entity/Q55868790,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,N
2019S000641,2019-04-01T13:35:00Z,CALL_CAÑON_DEL_RIO_LOBOS,7A,Moratalaz,https://wikidata.org/entity/Q2076109,CALLE CAÑON DEL RIO LOBOS,,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 65 a 69 años,Hombre,7.0,N
2019S000659,2019-01-01T14:00:00Z,CALL_CASTELLO__CALL_DON_RAMON_DE_LA_CRUZ,60,Salamanca,https://wikidata.org/entity/Q1773521,calle de Castelló,https://wikidata.org/entity/Q28058833,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,1.0,N
2019S000904,2019-07-01T14:00:00Z,CALL_NUESTRA_SEÑORA_DE_VALVERDE__CALL_DOCTOR_JUAN_BRAVO,2,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,calle de Nuestra Señora de Valverde,https://wikidata.org/entity/Q56256719,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,N
2019S001678,2019-09-01T12:50:00Z,CALL_GRAN_VIA,66,Centro,https://wikidata.org/entity/Q1763376,Gran Vía,https://wikidata.org/entity/Q1324163,Alcance,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,0,N
2019S001738,2019-08-01T13:03:00Z,C_MONASTERIO_DE_ARLANZA-AV_SANTUARIO_DE_VALVERDE,25,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,CALLE MONASTERIO DE ARLANZA-AVENIDA SANTUARIO DE VALVERDE,,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,N
