,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
0,2019S000036,02/01/2019,20:45:00,AVDA. GRAN VIA DE HORTALEZA / GTA. LUIS ROSALES,65B,HORTALEZA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 70 a 74 años,Hombre,3.0,"445393,77","4480071,48",N,
1,2019S000045,03/01/2019,10:30:00,"CTRA. DEHESA DE LA VILLA, 1",1,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,2.0,"438928,35","4478869,42",N,
2,2019S000132,03/01/2019,12:45:00,AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA,64,VILLA DE VALLECAS,Alcance,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7.0,"448340,19","4469962,9",N,
3,2019S000132,03/01/2019,12:45:00,AVDA. SANTA EUGENIA / CALL. REAL DE ARGANDA,64,VILLA DE VALLECAS,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,14.0,"448340,19","4469962,9",N,
4,2019S000133,03/01/2019,14:30:00,"CALL. FELIPE ALVAREZ, 10",10,VILLA DE VALLECAS,Alcance,Se desconoce,Bicicleta,Conductor,De 15 a 17 años,Hombre,7.0,"447084,68","4470339,71",N,
5,2019S000306,04/01/2019,17:10:00,"CALL. PRADILLO, 26",26,CHAMARTÍN,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,"439823,38","4478248,1",N,
6,2019S000641,04/01/2019,13:35:00,"CALL. CAÑON DEL RIO LOBOS, 7A",7A,MORATALAZ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 65 a 69 años,Hombre,7.0,"446471,91","4473095,02",N,
7,2019S000659,01/01/2019,14:00:00,CALL. CASTELLO / CALL. DON RAMON DE LA CRUZ,60,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,1.0,"442229,03","4475624,62",N,
8,2019S000904,07/01/2019,14:00:00,CALL. NUESTRA SEÑORA DE VALVERDE / CALL. DOCTOR JUAN BRAVO,2,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,"441849,54","4482516,33",N,
9,2019S001678,09/01/2019,12:50:00,"CALL. GRAN VIA, 66",66,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,,"439858,99","4474883,96",N,
10,2019S001738,08/01/2019,13:03:00,C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE,25,FUENCARRAL-EL PARDO,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,"441286,76","4484677,18",N,
11,2019S001943,09/01/2019,14:50:00,"CALL. ANTONIO DE LEYVA, 84",84,CARABANCHEL,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7.0,"439157,86","4471039,26",N,
12,2019S002373,08/01/2019,20:55:00,"CALL. PUERTO DE LA CRUZ VERDE, 49",49,ARGANZUELA,Atropello a persona,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,14.0,"441775,74","4470816,41",N,
13,2019S002373,08/01/2019,20:55:00,"CALL. PUERTO DE LA CRUZ VERDE, 49",49,ARGANZUELA,Atropello a persona,Despejado,Bicicleta,Peatón,De 35 a 39 años,Hombre,7.0,"441775,74","4470816,41",N,
14,2019S002591,12/01/2019,22:15:00,AVDA. POBLADOS / CALL. SECOYA,109,CARABANCHEL,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,2.0,"437847,56","4469488,35",N,
15,2019S002594,12/01/2019,22:45:00,POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA,0,LATINA,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,6.0,"434739,49","4471242,16",N,
16,2019S002704,12/01/2019,13:00:00,"CALL. SANCHIDRIAN, 13A",13A,LATINA,Alcance,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,14.0,"434179,07","4471946,91",N,
